epoch,error,weights
249,2,"[-5.000000000000002, -14.65999999999992, -12.800000000000075, 20.799999999999905, 22.679999999999946]"
250,4,"[-5.000000000000002, -14.519999999999918, -12.760000000000076, 20.919999999999906, 22.839999999999943]"
251,4,"[-5.000000000000002, -14.399999999999917, -12.680000000000078, 21.039999999999907, 23.03999999999994]"
252,3,"[-5.200000000000002, -15.279999999999918, -13.080000000000078, 20.399999999999906, 22.87999999999994]"
253,2,"[-5.200000000000002, -15.03999999999992, -13.12000000000008, 20.619999999999905, 22.93999999999994]"
254,2,"[-5.200000000000002, -14.91999999999992, -13.12000000000008, 20.679999999999904, 22.97999999999994]"
255,2,"[-5.200000000000002, -14.859999999999918, -12.920000000000078, 20.799999999999905, 23.079999999999938]"
256,4,"[-5.200000000000002, -14.719999999999917, -12.880000000000077, 20.919999999999906, 23.239999999999934]"
257,4,"[-5.200000000000002, -14.579999999999917, -12.840000000000078, 21.039999999999907, 23.39999999999993]"
258,4,"[-5.200000000000002, -14.459999999999916, -12.76000000000008, 21.159999999999908, 23.599999999999927]"
259,3,"[-5.400000000000002, -15.319999999999917, -13.260000000000081, 20.579999999999906, 23.399999999999928]"
260,2,"[-5.400000000000002, -15.079999999999918, -13.300000000000082, 20.799999999999905, 23.45999999999993]"
261,2,"[-5.400000000000002, -15.019999999999918, -13.100000000000081, 20.919999999999906, 23.559999999999928]"
262,2,"[-5.400000000000002, -14.839999999999918, -13.06000000000008, 21.039999999999907, 23.659999999999926]"
263,4,"[-5.400000000000002, -14.699999999999918, -13.020000000000081, 21.159999999999908, 23.819999999999922]"
264,4,"[-5.400000000000002, -14.579999999999917, -12.940000000000083, 21.27999999999991, 24.019999999999918]"
265,3,"[-5.600000000000002, -15.439999999999918, -13.440000000000085, 20.699999999999907, 23.81999999999992]"
266,2,"[-5.600000000000002, -15.19999999999992, -13.480000000000086, 20.919999999999906, 23.87999999999992]"
267,2,"[-5.600000000000002, -15.139999999999919, -13.280000000000085, 21.039999999999907, 23.97999999999992]"
